pollutant,run,level,participant_id,replicate,mean_value,sd_value
co,corrida_3,4-μmol/mol,part_5,6,4.026,0.012
co,corrida_3,4-μmol/mol,part_6,7,4.024,0.012
co,corrida_3,4-μmol/mol,part_6,7,4.018,0.012
co,corrida_3,4-μmol/mol,part_6,7,4.021,0.012
co,corrida_3,4-μmol/mol,ref,1,4.022,0.013
co,corrida_3,4-μmol/mol,ref,1,4.02,0.014
co,corrida_3,4-μmol/mol,ref,1,4.023,0.012
co,corrida_4,6-μmol/mol,part_1,2,6.067,0.013
co,corrida_4,6-μmol/mol,part_1,2,6.073,0.013
co,corrida_4,6-μmol/mol,part_1,2,6.07,0.014
co,corrida_4,6-μmol/mol,part_2,3,6.065,0.014
co,corrida_4,6-μmol/mol,part_2,3,6.077,0.012
co,corrida_4,6-μmol/mol,part_2,3,6.07,0.014
co,corrida_4,6-μmol/mol,part_3,4,6.077,0.012
co,corrida_4,6-μmol/mol,part_3,4,6.068,0.012
co,corrida_4,6-μmol/mol,part_3,4,6.066,0.014
co,corrida_4,6-μmol/mol,part_4,5,6.069,0.015
co,corrida_4,6-μmol/mol,part_4,5,6.066,0.01
co,corrida_4,6-μmol/mol,part_4,5,6.07,0.014
co,corrida_4,6-μmol/mol,part_5,6,6.077,0.014
co,corrida_4,6-μmol/mol,part_5,6,6.067,0.01
co,corrida_4,6-μmol/mol,part_5,6,6.075,0.014
co,corrida_4,6-μmol/mol,part_6,7,6.072,0.013
co,corrida_4,6-μmol/mol,part_6,7,6.074,0.013
co,corrida_4,6-μmol/mol,part_6,7,6.068,0.013
co,corrida_4,6-μmol/mol,ref,1,6.061,0.004
co,corrida_4,6-μmol/mol,ref,1,6.064,0.012
co,corrida_4,6-μmol/mol,ref,1,6.076,0.012
co,corrida_5,8-μmol/mol,part_1,2,8.002,0.05
co,corrida_5,8-μmol/mol,part_1,2,8.051,0.058
co,corrida_5,8-μmol/mol,part_1,2,8.036,0.064
co,corrida_5,8-μmol/mol,part_2,3,8.062,0.053
co,corrida_5,8-μmol/mol,part_2,3,8.048,0.062
co,corrida_5,8-μmol/mol,part_2,3,8.036,0.065
co,corrida_5,8-μmol/mol,part_3,4,8.054,0.061
co,corrida_5,8-μmol/mol,part_3,4,8.08,0.048
co,corrida_5,8-μmol/mol,part_3,4,8.016,0.053
co,corrida_5,8-μmol/mol,part_4,5,8.028,0.062
co,corrida_5,8-μmol/mol,part_4,5,8.049,0.06
co,corrida_5,8-μmol/mol,part_4,5,8.05,0.06
co,corrida_5,8-μmol/mol,part_5,6,8.042,0.059
co,corrida_5,8-μmol/mol,part_5,6,8.066,0.054
co,corrida_5,8-μmol/mol,part_5,6,8.053,0.062
co,corrida_5,8-μmol/mol,part_6,7,8.038,0.063
co,corrida_5,8-μmol/mol,part_6,7,8.061,0.061
co,corrida_5,8-μmol/mol,part_6,7,8.05,0.063
co,corrida_5,8-μmol/mol,ref,1,8.041,0.066
co,corrida_5,8-μmol/mol,ref,1,8.042,0.066
co,corrida_5,8-μmol/mol,ref,1,8.054,0.06
no,corrida_1,0-nmol/mol,part_1,2,0.582,0.135
no,corrida_1,0-nmol/mol,part_1,2,0.566,0.163
no,corrida_1,0-nmol/mol,part_1,2,0.562,0.156
no,corrida_1,0-nmol/mol,part_2,3,0.559,0.124
no,corrida_1,0-nmol/mol,part_2,3,0.57,0.152
no,corrida_1,0-nmol/mol,part_2,3,0.609,0.135
no,corrida_1,0-nmol/mol,part_3,4,0.618,0.124
no,corrida_1,0-nmol/mol,part_3,4,0.519,0.111
no,corrida_1,0-nmol/mol,part_3,4,0.538,0.127
no,corrida_1,0-nmol/mol,part_4,5,0.517,0.123
no,corrida_1,0-nmol/mol,part_4,5,0.535,0.123
no,corrida_1,0-nmol/mol,part_4,5,0.536,0.093
no,corrida_1,0-nmol/mol,part_5,6,0.554,0.133
no,corrida_1,0-nmol/mol,part_5,6,0.57,0.128
no,corrida_1,0-nmol/mol,part_5,6,0.528,0.128
no,corrida_1,0-nmol/mol,part_6,7,0.532,0.11
no,corrida_1,0-nmol/mol,part_6,7,0.577,0.151
no,corrida_1,0-nmol/mol,part_6,7,0.579,0.144
no,corrida_1,0-nmol/mol,ref,1,0.676,0.139
no,corrida_1,0-nmol/mol,ref,1,0.669,0.117
no,corrida_1,0-nmol/mol,ref,1,0.541,0.116
no,corrida_2,121-nmol/mol,part_1,2,120.322,0.091
no,corrida_2,121-nmol/mol,part_1,2,120.38,0.063
no,corrida_2,121-nmol/mol,part_1,2,120.329,0.088
no,corrida_2,121-nmol/mol,part_2,3,120.379,0.058
no,corrida_2,121-nmol/mol,part_2,3,120.357,0.05
no,corrida_2,121-nmol/mol,part_2,3,120.335,0.046
no,corrida_2,121-nmol/mol,part_3,4,120.338,0.063
no,corrida_2,121-nmol/mol,part_3,4,120.347,0.055
no,corrida_2,121-nmol/mol,part_3,4,120.35,0.046
no,corrida_2,121-nmol/mol,part_4,5,120.398,0.064
no,corrida_2,121-nmol/mol,part_4,5,120.34,0.095
no,corrida_2,121-nmol/mol,part_4,5,120.359,0.083
no,corrida_2,121-nmol/mol,part_5,6,120.361,0.058
no,corrida_2,121-nmol/mol,part_5,6,120.343,0.075
no,corrida_2,121-nmol/mol,part_5,6,120.355,0.129
no,corrida_2,121-nmol/mol,part_6,7,120.37,0.067
no,corrida_2,121-nmol/mol,part_6,7,120.32,0.09
no,corrida_2,121-nmol/mol,part_6,7,120.363,0.069
no,corrida_2,121-nmol/mol,ref,1,120.28,0.089
no,corrida_2,121-nmol/mol,ref,1,120.322,0.072
no,corrida_2,121-nmol/mol,ref,1,120.362,0.054
no,corrida_3,180-nmol/mol,part_1,2,182.299,0.247
no,corrida_3,180-nmol/mol,part_1,2,182.072,0.171
no,corrida_3,180-nmol/mol,part_1,2,182.209,0.278
no,corrida_3,180-nmol/mol,part_2,3,182.221,0.293
no,corrida_3,180-nmol/mol,part_2,3,182.178,0.248
no,corrida_3,180-nmol/mol,part_2,3,182.155,0.225
no,corrida_3,180-nmol/mol,part_3,4,182.224,0.298
no,corrida_3,180-nmol/mol,part_3,4,182.061,0.172
no,corrida_3,180-nmol/mol,part_3,4,182.175,0.261
no,corrida_3,180-nmol/mol,part_4,5,182.198,0.219
no,corrida_3,180-nmol/mol,part_4,5,182.182,0.302
no,corrida_3,180-nmol/mol,part_4,5,182.215,0.226
no,corrida_3,180-nmol/mol,part_5,6,182.314,0.238
no,corrida_3,180-nmol/mol,part_5,6,182.298,0.276
no,corrida_3,180-nmol/mol,part_5,6,182.251,0.24
no,corrida_3,180-nmol/mol,part_6,7,182.206,0.238
no,corrida_3,180-nmol/mol,part_6,7,182.345,0.213
no,corrida_3,180-nmol/mol,part_6,7,182.237,0.281
no,corrida_3,180-nmol/mol,ref,1,182.338,0.241
no,corrida_3,180-nmol/mol,ref,1,182.278,0.199
no,corrida_3,180-nmol/mol,ref,1,182.254,0.266
no,corrida_4,42-nmol/mol,part_1,2,24.929,1.196
no,corrida_4,42-nmol/mol,part_1,2,25.101,1.081
no,corrida_4,42-nmol/mol,part_1,2,24.87,1.356
no,corrida_4,42-nmol/mol,part_2,3,24.244,1.115
no,corrida_4,42-nmol/mol,part_2,3,24.974,0.903
no,corrida_4,42-nmol/mol,part_2,3,24.638,0.971
no,corrida_4,42-nmol/mol,part_3,4,25.149,1.089
no,corrida_4,42-nmol/mol,part_3,4,25.249,0.684
no,corrida_4,42-nmol/mol,part_3,4,25.093,1.336
no,corrida_4,42-nmol/mol,part_4,5,24.833,1.203
no,corrida_4,42-nmol/mol,part_4,5,24.841,1.238
no,corrida_4,42-nmol/mol,part_4,5,25.105,1.369
no,corrida_4,42-nmol/mol,part_5,6,25.25,0.846
no,corrida_4,42-nmol/mol,part_5,6,24.66,0.956
no,corrida_4,42-nmol/mol,part_5,6,24.653,1.051
no,corrida_4,42-nmol/mol,part_6,7,25.037,0.955
no,corrida_4,42-nmol/mol,part_6,7,24.087,0.654
no,corrida_4,42-nmol/mol,part_6,7,25.046,0.797
no,corrida_4,42-nmol/mol,ref,1,24.425,1.434
no,corrida_4,42-nmol/mol,ref,1,24.693,1.192
no,corrida_4,42-nmol/mol,ref,1,24.977,1.054
no,corrida_5,81-nmol/mol,part_1,2,80.664,0.04
no,corrida_5,81-nmol/mol,part_1,2,80.68,0.05
no,corrida_5,81-nmol/mol,part_1,2,80.702,0.045
no,corrida_5,81-nmol/mol,part_2,3,80.664,0.022
no,corrida_5,81-nmol/mol,part_2,3,80.681,0.038
no,corrida_5,81-nmol/mol,part_2,3,80.679,0.058
no,corrida_5,81-nmol/mol,part_3,4,80.687,0.053
no,corrida_5,81-nmol/mol,part_3,4,80.685,0.042
no,corrida_5,81-nmol/mol,part_3,4,80.695,0.043
no,corrida_5,81-nmol/mol,part_4,5,80.687,0.038
no,corrida_5,81-nmol/mol,part_4,5,80.676,0.029
no,corrida_5,81-nmol/mol,part_4,5,80.693,0.036
no,corrida_5,81-nmol/mol,part_5,6,80.684,0.038
no,corrida_5,81-nmol/mol,part_5,6,80.67,0.034
no,corrida_5,81-nmol/mol,part_5,6,80.674,0.048
no,corrida_5,81-nmol/mol,part_6,7,80.663,0.047
no,corrida_5,81-nmol/mol,part_6,7,80.691,0.05
no,corrida_5,81-nmol/mol,part_6,7,80.686,0.042
no,corrida_5,81-nmol/mol,ref,1,80.662,0.026
no,corrida_5,81-nmol/mol,ref,1,80.699,0.027
no,corrida_5,81-nmol/mol,ref,1,80.674,0.054
no2,corrida_1,0-nmol/mol,part_1,2,0.197,0.154
no2,corrida_1,0-nmol/mol,part_1,2,0.147,0.161
no2,corrida_1,0-nmol/mol,part_1,2,0.11,0.161
no2,corrida_1,0-nmol/mol,part_2,3,0.189,0.16
no2,corrida_1,0-nmol/mol,part_2,3,0.237,0.16
no2,corrida_1,0-nmol/mol,part_2,3,0.113,0.162
no2,corrida_1,0-nmol/mol,part_3,4,0.07,0.173
no2,corrida_1,0-nmol/mol,part_3,4,0.081,0.175
no2,corrida_1,0-nmol/mol,part_3,4,0.111,0.162
no2,corrida_1,0-nmol/mol,part_4,5,0.172,0.153
no2,corrida_1,0-nmol/mol,part_4,5,0.009,0.161
no2,corrida_1,0-nmol/mol,part_4,5,0.043,0.116
no2,corrida_1,0-nmol/mol,part_5,6,0.104,0.162
no2,corrida_1,0-nmol/mol,part_5,6,0.126,0.176
no2,corrida_1,0-nmol/mol,part_5,6,0.096,0.192
no2,corrida_1,0-nmol/mol,part_6,7,0.101,0.169
no2,corrida_1,0-nmol/mol,part_6,7,0.141,0.15
no2,corrida_1,0-nmol/mol,part_6,7,0.117,0.157
no2,corrida_1,0-nmol/mol,ref,1,0.083,0.162
no2,corrida_1,0-nmol/mol,ref,1,0.068,0.156
no2,corrida_1,0-nmol/mol,ref,1,0.228,0.127
no2,corrida_2,120-nmol/mol,part_1,2,123.19,0.432
no2,corrida_2,120-nmol/mol,part_1,2,122.856,0.308
no2,corrida_2,120-nmol/mol,part_1,2,123.138,0.436
no2,corrida_2,120-nmol/mol,part_2,3,123.039,0.478
no2,corrida_2,120-nmol/mol,part_2,3,122.935,0.343
no2,corrida_2,120-nmol/mol,part_2,3,122.904,0.576
no2,corrida_2,120-nmol/mol,part_3,4,122.938,0.339
no2,corrida_2,120-nmol/mol,part_3,4,122.863,0.314
no2,corrida_2,120-nmol/mol,part_3,4,123.034,0.445
no2,corrida_2,120-nmol/mol,part_4,5,122.999,0.425
no2,corrida_2,120-nmol/mol,part_4,5,122.95,0.533
no2,corrida_2,120-nmol/mol,part_4,5,123.032,0.366
no2,corrida_2,120-nmol/mol,part_5,6,122.869,0.393
no2,corrida_2,120-nmol/mol,part_5,6,122.851,0.348
no2,corrida_2,120-nmol/mol,part_5,6,122.916,0.187
no2,corrida_2,120-nmol/mol,part_6,7,122.983,0.34
no2,corrida_2,120-nmol/mol,part_6,7,122.99,0.435
no2,corrida_2,120-nmol/mol,part_6,7,123.115,0.361
no2,corrida_2,120-nmol/mol,ref,1,122.926,0.287
no2,corrida_2,120-nmol/mol,ref,1,122.962,0.405
no2,corrida_2,120-nmol/mol,ref,1,123.234,0.477
no2,corrida_3,30-nmol/mol,part_1,2,32.922,0.032
no2,corrida_3,30-nmol/mol,part_1,2,32.911,0.039
no2,corrida_3,30-nmol/mol,part_1,2,32.915,0.022
no2,corrida_3,30-nmol/mol,part_2,3,32.931,0.042
no2,corrida_3,30-nmol/mol,part_2,3,32.919,0.036
no2,corrida_3,30-nmol/mol,part_2,3,32.9,0.035
no2,corrida_3,30-nmol/mol,part_3,4,32.919,0.023
no2,corrida_3,30-nmol/mol,part_3,4,32.91,0.021
no2,corrida_3,30-nmol/mol,part_3,4,32.915,0.029
no2,corrida_3,30-nmol/mol,part_4,5,32.925,0.023
no2,corrida_3,30-nmol/mol,part_4,5,32.899,0.042
no2,corrida_3,30-nmol/mol,part_4,5,32.891,0.03
no2,corrida_3,30-nmol/mol,part_5,6,32.941,0.026
no2,corrida_3,30-nmol/mol,part_5,6,32.907,0.031
no2,corrida_3,30-nmol/mol,part_5,6,32.934,0.053
no2,corrida_3,30-nmol/mol,part_6,7,32.913,0.052
no2,corrida_3,30-nmol/mol,part_6,7,32.89,0.025
no2,corrida_3,30-nmol/mol,part_6,7,32.907,0.048
no2,corrida_3,30-nmol/mol,ref,1,32.907,0.044
no2,corrida_3,30-nmol/mol,ref,1,32.904,0.033
no2,corrida_3,30-nmol/mol,ref,1,32.917,0.028
no2,corrida_4,60-nmol/mol,part_1,2,64.938,0.352
no2,corrida_4,60-nmol/mol,part_1,2,64.998,0.253
no2,corrida_4,60-nmol/mol,part_1,2,64.978,0.227
no2,corrida_4,60-nmol/mol,part_2,3,64.965,0.332
no2,corrida_4,60-nmol/mol,part_2,3,64.934,0.276
no2,corrida_4,60-nmol/mol,part_2,3,65.178,0.149
no2,corrida_4,60-nmol/mol,part_3,4,64.97,0.297
no2,corrida_4,60-nmol/mol,part_3,4,65,0.266
no2,corrida_4,60-nmol/mol,part_3,4,64.976,0.235
no2,corrida_4,60-nmol/mol,part_4,5,64.98,0.269
no2,corrida_4,60-nmol/mol,part_4,5,64.904,0.282
no2,corrida_4,60-nmol/mol,part_4,5,64.81,0.285
no2,corrida_4,60-nmol/mol,part_5,6,64.994,0.376
no2,corrida_4,60-nmol/mol,part_5,6,65,0.309
no2,corrida_4,60-nmol/mol,part_5,6,64.949,0.508
no2,corrida_4,60-nmol/mol,part_6,7,64.948,0.256
no2,corrida_4,60-nmol/mol,part_6,7,64.922,0.291
no2,corrida_4,60-nmol/mol,part_6,7,65.053,0.194
no2,corrida_4,60-nmol/mol,ref,1,65.128,0.231
no2,corrida_4,60-nmol/mol,ref,1,64.974,0.327
no2,corrida_4,60-nmol/mol,ref,1,64.945,0.307
no2,corrida_5,90-nmol/mol,part_1,2,96.833,0.041
no2,corrida_5,90-nmol/mol,part_1,2,96.83,0.042
no2,corrida_5,90-nmol/mol,part_1,2,96.836,0.04
no2,corrida_5,90-nmol/mol,part_2,3,96.85,0.035
no2,corrida_5,90-nmol/mol,part_2,3,96.838,0.044
no2,corrida_5,90-nmol/mol,part_2,3,96.836,0.033
no2,corrida_5,90-nmol/mol,part_3,4,96.827,0.04
no2,corrida_5,90-nmol/mol,part_3,4,96.839,0.034
no2,corrida_5,90-nmol/mol,part_3,4,96.848,0.049
no2,corrida_5,90-nmol/mol,part_4,5,96.862,0.04
no2,corrida_5,90-nmol/mol,part_4,5,96.845,0.052
no2,corrida_5,90-nmol/mol,part_4,5,96.835,0.041
no2,corrida_5,90-nmol/mol,part_5,6,96.843,0.032
no2,corrida_5,90-nmol/mol,part_5,6,96.856,0.033
no2,corrida_5,90-nmol/mol,part_5,6,96.831,0.038
no2,corrida_5,90-nmol/mol,part_6,7,96.847,0.042
no2,corrida_5,90-nmol/mol,part_6,7,96.855,0.037
no2,corrida_5,90-nmol/mol,part_6,7,96.812,0.035
no2,corrida_5,90-nmol/mol,ref,1,96.822,0.052
no2,corrida_5,90-nmol/mol,ref,1,96.833,0.049
no2,corrida_5,90-nmol/mol,ref,1,96.816,0.044
o3,corrida_1,0-nmol/mol,part_1,2,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_1,2,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_1,2,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_2,3,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_2,3,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_2,3,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_3,4,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_3,4,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_3,4,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_4,5,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_4,5,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_4,5,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_5,6,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_5,6,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_5,6,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_6,7,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_6,7,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,part_6,7,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,ref,1,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,ref,1,0.00E+00,0.00E+00
o3,corrida_1,0-nmol/mol,ref,1,0.00E+00,0.00E+00
o3,corrida_2,120-nmol/mol,part_1,2,120.033,0.823
o3,corrida_2,120-nmol/mol,part_1,2,119.742,0.837
o3,corrida_2,120-nmol/mol,part_1,2,120.225,0.8
o3,corrida_2,120-nmol/mol,part_2,3,119.603,0.765
o3,corrida_2,120-nmol/mol,part_2,3,119.581,0.807
o3,corrida_2,120-nmol/mol,part_2,3,119.897,0.833
o3,corrida_2,120-nmol/mol,part_3,4,119.45,0.69
o3,corrida_2,120-nmol/mol,part_3,4,119.719,0.807
o3,corrida_2,120-nmol/mol,part_3,4,120.393,0.665
o3,corrida_2,120-nmol/mol,part_4,5,120.389,0.626
o3,corrida_2,120-nmol/mol,part_4,5,119.41,0.668
o3,corrida_2,120-nmol/mol,part_4,5,120.225,0.78
o3,corrida_2,120-nmol/mol,part_5,6,119.885,0.823
o3,corrida_2,120-nmol/mol,part_5,6,120.065,0.825
o3,corrida_2,120-nmol/mol,part_5,6,119.425,0.672
o3,corrida_2,120-nmol/mol,part_6,7,120.05,0.839
o3,corrida_2,120-nmol/mol,part_6,7,120.054,0.815
o3,corrida_2,120-nmol/mol,part_6,7,120.069,0.819
o3,corrida_2,120-nmol/mol,ref,1,119.9,0.818
o3,corrida_2,120-nmol/mol,ref,1,120.235,0.731
o3,corrida_2,120-nmol/mol,ref,1,120.03,0.854
o3,corrida_3,180-nmol/mol,part_1,2,178.424,2.069
o3,corrida_3,180-nmol/mol,part_1,2,179.189,1.931
o3,corrida_3,180-nmol/mol,part_1,2,178.036,2.064
o3,corrida_3,180-nmol/mol,part_2,3,179.566,1.708
o3,corrida_3,180-nmol/mol,part_2,3,178.717,2.042
o3,corrida_3,180-nmol/mol,part_2,3,177.623,1.936
o3,corrida_3,180-nmol/mol,part_3,4,177.602,1.935
o3,corrida_3,180-nmol/mol,part_3,4,179.585,1.637
o3,corrida_3,180-nmol/mol,part_3,4,179.635,1.662
o3,corrida_3,180-nmol/mol,part_4,5,176.847,1.316
o3,corrida_3,180-nmol/mol,part_4,5,178.011,2.076
o3,corrida_3,180-nmol/mol,part_4,5,179.213,1.938
o3,corrida_3,180-nmol/mol,part_5,6,177.625,1.894
o3,corrida_3,180-nmol/mol,part_5,6,178.427,2.052
o3,corrida_3,180-nmol/mol,part_5,6,178.407,2.083
o3,corrida_3,180-nmol/mol,part_6,7,177.579,1.94
o3,corrida_3,180-nmol/mol,part_6,7,177.584,1.884
o3,corrida_3,180-nmol/mol,part_6,7,178.019,2.045
o3,corrida_3,180-nmol/mol,ref,1,178.831,2.018
o3,corrida_3,180-nmol/mol,ref,1,176.411,0.16
o3,corrida_3,180-nmol/mol,ref,1,178.368,2.134
o3,corrida_4,40-nmol/mol,part_1,2,40.719,0.26
o3,corrida_4,40-nmol/mol,part_1,2,40.509,0.331
o3,corrida_4,40-nmol/mol,part_1,2,40.645,0.322
o3,corrida_4,40-nmol/mol,part_2,3,40.582,0.346
o3,corrida_4,40-nmol/mol,part_2,3,40.458,0.33
o3,corrida_4,40-nmol/mol,part_2,3,40.458,0.338
o3,corrida_4,40-nmol/mol,part_3,4,40.339,0.266
o3,corrida_4,40-nmol/mol,part_3,4,40.533,0.348
o3,corrida_4,40-nmol/mol,part_3,4,40.612,0.321
o3,corrida_4,40-nmol/mol,part_4,5,40.733,0.259
o3,corrida_4,40-nmol/mol,part_4,5,40.527,0.355
o3,corrida_4,40-nmol/mol,part_4,5,40.645,0.312
o3,corrida_4,40-nmol/mol,part_5,6,40.604,0.356
o3,corrida_4,40-nmol/mol,part_5,6,40.531,0.326
o3,corrida_4,40-nmol/mol,part_5,6,40.407,0.312
o3,corrida_4,40-nmol/mol,part_6,7,40.447,0.324
o3,corrida_4,40-nmol/mol,part_6,7,40.403,0.318
o3,corrida_4,40-nmol/mol,part_6,7,40.458,0.334
o3,corrida_4,40-nmol/mol,ref,1,40.45,0.336
o3,corrida_4,40-nmol/mol,ref,1,40.47,0.33
o3,corrida_4,40-nmol/mol,ref,1,40.59,0.34
o3,corrida_5,80-nmol/mol,part_1,2,80.205,0.57
o3,corrida_5,80-nmol/mol,part_1,2,80.089,0.589
o3,corrida_5,80-nmol/mol,part_1,2,80.331,0.532
o3,corrida_5,80-nmol/mol,part_2,3,80.076,0.585
o3,corrida_5,80-nmol/mol,part_2,3,79.979,0.584
o3,corrida_5,80-nmol/mol,part_2,3,80.225,0.585
o3,corrida_5,80-nmol/mol,part_3,4,80.318,0.53
o3,corrida_5,80-nmol/mol,part_3,4,79.982,0.564
o3,corrida_5,80-nmol/mol,part_3,4,79.869,0.574
o3,corrida_5,80-nmol/mol,part_4,5,80.19,0.596
o3,corrida_5,80-nmol/mol,part_4,5,80.461,0.47
o3,corrida_5,80-nmol/mol,part_4,5,80.196,0.606
o3,corrida_5,80-nmol/mol,part_5,6,79.858,0.558
o3,corrida_5,80-nmol/mol,part_5,6,80.206,0.578
o3,corrida_5,80-nmol/mol,part_5,6,79.854,0.564
o3,corrida_5,80-nmol/mol,part_6,7,80.093,0.584
o3,corrida_5,80-nmol/mol,part_6,7,79.988,0.582
o3,corrida_5,80-nmol/mol,part_6,7,79.994,0.563
o3,corrida_5,80-nmol/mol,ref,1,80.112,0.597
o3,corrida_5,80-nmol/mol,ref,1,79.756,0.486
o3,corrida_5,80-nmol/mol,ref,1,80.213,0.581
so2,corrida_1,0-nmol/mol,part_1,2,0.056,0.034
so2,corrida_1,0-nmol/mol,part_1,2,0.091,0.04
so2,corrida_1,0-nmol/mol,part_1,2,0.042,0.05
so2,corrida_1,0-nmol/mol,part_2,3,0.041,0.042
so2,corrida_1,0-nmol/mol,part_2,3,0.041,0.041
so2,corrida_1,0-nmol/mol,part_2,3,0.032,0.054
so2,corrida_1,0-nmol/mol,part_3,4,0.059,0.048
so2,corrida_1,0-nmol/mol,part_3,4,0.032,0.024
so2,corrida_1,0-nmol/mol,part_3,4,0.075,0.046
so2,corrida_1,0-nmol/mol,part_4,5,0.059,0.032
so2,corrida_1,0-nmol/mol,part_4,5,0.069,0.03
so2,corrida_1,0-nmol/mol,part_4,5,0.073,0.053
so2,corrida_1,0-nmol/mol,part_5,6,0.072,0.026
so2,corrida_1,0-nmol/mol,part_5,6,0.055,0.048
so2,corrida_1,0-nmol/mol,part_5,6,0.059,0.052
so2,corrida_1,0-nmol/mol,part_6,7,0.024,0.045
so2,corrida_1,0-nmol/mol,part_6,7,0.036,0.044
so2,corrida_1,0-nmol/mol,part_6,7,0.048,0.054
so2,corrida_1,0-nmol/mol,ref,1,0.071,0.063
