pollutant,level,concentration,participant_id,replicate,sample_group,mean_value,sd_value
co,corrida_3,4-μmol/mol,part_9,10,1-10,4.021377554,0.01235164589
co,corrida_3,4-μmol/mol,part_9,10,11-20,4.021017403,0.01432926186
co,corrida_3,4-μmol/mol,part_9,10,21-30,4.021357965,0.01449449085
co,corrida_3,4-μmol/mol,ref,1,1-10,4.022758831,0.01274917907
co,corrida_3,4-μmol/mol,ref,1,11-20,4.020412554,0.01508016664
co,corrida_3,4-μmol/mol,ref,1,21-30,4.018300433,0.01198003071
co,corrida_4,6-μmol/mol,part_1,2,1-10,6.074098933,0.0154356689
co,corrida_4,6-μmol/mol,part_1,2,11-20,6.069222496,0.0141150891
co,corrida_4,6-μmol/mol,part_1,2,21-30,6.077220033,0.01341595064
co,corrida_4,6-μmol/mol,part_2,3,1-10,6.075058498,0.0112906904
co,corrida_4,6-μmol/mol,part_2,3,11-20,6.072486084,0.01240592163
co,corrida_4,6-μmol/mol,part_2,3,21-30,6.073951601,0.011936275
co,corrida_4,6-μmol/mol,part_3,4,1-10,6.077013588,0.01294284279
co,corrida_4,6-μmol/mol,part_3,4,11-20,6.071928325,0.0145850761
co,corrida_4,6-μmol/mol,part_3,4,21-30,6.07071523,0.01228635926
co,corrida_4,6-μmol/mol,part_4,5,1-10,6.071871593,0.01289071747
co,corrida_4,6-μmol/mol,part_4,5,11-20,6.0790922,0.01158523459
co,corrida_4,6-μmol/mol,part_4,5,21-30,6.073554516,0.01439686277
co,corrida_4,6-μmol/mol,part_5,6,1-10,6.076020936,0.0128034447
co,corrida_4,6-μmol/mol,part_5,6,11-20,6.071952956,0.01517221526
co,corrida_4,6-μmol/mol,part_5,6,21-30,6.070916544,0.01222740366
co,corrida_4,6-μmol/mol,part_6,7,1-10,6.065066215,0.01122063205
co,corrida_4,6-μmol/mol,part_6,7,11-20,6.072181158,0.01350431002
co,corrida_4,6-μmol/mol,part_6,7,21-30,6.066960961,0.01259141842
co,corrida_4,6-μmol/mol,part_7,8,1-10,6.072063998,0.01134688062
co,corrida_4,6-μmol/mol,part_7,8,11-20,6.075867693,0.01550849927
co,corrida_4,6-μmol/mol,part_7,8,21-30,6.074334195,0.01377723732
co,corrida_4,6-μmol/mol,part_8,9,1-10,6.070406856,0.01310074767
co,corrida_4,6-μmol/mol,part_8,9,11-20,6.072546223,0.01413060463
co,corrida_4,6-μmol/mol,part_8,9,21-30,6.065103571,0.01256395165
co,corrida_4,6-μmol/mol,part_9,10,1-10,6.074726642,0.01297261637
co,corrida_4,6-μmol/mol,part_9,10,11-20,6.0748922,0.01195023745
co,corrida_4,6-μmol/mol,part_9,10,21-30,6.072002094,0.01352519989
co,corrida_4,6-μmol/mol,ref,1,1-10,6.081923399,0.0102151839
co,corrida_4,6-μmol/mol,ref,1,11-20,6.076749384,0.01472702843
co,corrida_4,6-μmol/mol,ref,1,21-30,6.069070731,0.01522713139
co,corrida_5,8-μmol/mol,part_1,2,1-10,8.03833231,0.07034748942
co,corrida_5,8-μmol/mol,part_1,2,11-20,8.02808766,0.06208446938
co,corrida_5,8-μmol/mol,part_1,2,21-30,8.039929412,0.05917766643
co,corrida_5,8-μmol/mol,part_2,3,1-10,8.033197741,0.06420912089
co,corrida_5,8-μmol/mol,part_2,3,11-20,8.026585891,0.0635272767
co,corrida_5,8-μmol/mol,part_2,3,21-30,8.027227643,0.06288946486
co,corrida_5,8-μmol/mol,part_3,4,1-10,8.000396782,0.05355452614
co,corrida_5,8-μmol/mol,part_3,4,11-20,8.0448565,0.06520311474
co,corrida_5,8-μmol/mol,part_3,4,21-30,8.040690004,0.06002800639
co,corrida_5,8-μmol/mol,part_4,5,1-10,8.051332971,0.06321008837
co,corrida_5,8-μmol/mol,part_4,5,11-20,8.049715047,0.06426574626
co,corrida_5,8-μmol/mol,part_4,5,21-30,8.040567818,0.06241070904
co,corrida_5,8-μmol/mol,part_5,6,1-10,8.028091709,0.0602720429
co,corrida_5,8-μmol/mol,part_5,6,11-20,8.054287724,0.05969705767
co,corrida_5,8-μmol/mol,part_5,6,21-30,8.05282809,0.06257181264
co,corrida_5,8-μmol/mol,part_6,7,1-10,8.061605541,0.06108513036
co,corrida_5,8-μmol/mol,part_6,7,11-20,7.991106202,0.03748309219
co,corrida_5,8-μmol/mol,part_6,7,21-30,8.074858269,0.05198290558
co,corrida_5,8-μmol/mol,part_7,8,1-10,8.037684506,0.0592197691
co,corrida_5,8-μmol/mol,part_7,8,11-20,8.028655733,0.06222064768
co,corrida_5,8-μmol/mol,part_7,8,21-30,8.048208973,0.05686146859
co,corrida_5,8-μmol/mol,part_8,9,1-10,8.037439173,0.06605193709
co,corrida_5,8-μmol/mol,part_8,9,11-20,8.03434237,0.06327616698
co,corrida_5,8-μmol/mol,part_8,9,21-30,8.048671164,0.05646597222
co,corrida_5,8-μmol/mol,part_9,10,1-10,8.04785714,0.06483007621
co,corrida_5,8-μmol/mol,part_9,10,11-20,8.036963342,0.06333192804
co,corrida_5,8-μmol/mol,part_9,10,21-30,8.038068244,0.0619945357
co,corrida_5,8-μmol/mol,ref,1,1-10,8.02753084,0.06167372139
co,corrida_5,8-μmol/mol,ref,1,11-20,8.048947101,0.06419177243
co,corrida_5,8-μmol/mol,ref,1,21-30,8.039046505,0.06247125344
no,corrida_1,0-nmol/mol,part_1,2,1-10,0.5673939394,0.1635575312
no,corrida_1,0-nmol/mol,part_1,2,11-20,0.5961489899,0.1471383312
no,corrida_1,0-nmol/mol,part_1,2,21-30,0.5283570707,0.1130013208
no,corrida_1,0-nmol/mol,part_2,3,1-10,0.5376146465,0.1157032512
no,corrida_1,0-nmol/mol,part_2,3,11-20,0.5444186869,0.09451129621
no,corrida_1,0-nmol/mol,part_2,3,21-30,0.6130633838,0.1484916887
no,corrida_1,0-nmol/mol,part_3,4,1-10,0.5618353535,0.1247413896
no,corrida_1,0-nmol/mol,part_3,4,11-20,0.5376646465,0.1466006346
no,corrida_1,0-nmol/mol,part_3,4,21-30,0.5997381313,0.166909168
no,corrida_1,0-nmol/mol,part_4,5,1-10,0.5443633838,0.1144062603
no,corrida_1,0-nmol/mol,part_4,5,11-20,0.6143926768,0.1449939553
no,corrida_1,0-nmol/mol,part_4,5,21-30,0.5455969697,0.1251661461
no,corrida_1,0-nmol/mol,part_5,6,1-10,0.6002270202,0.1433155179
no,corrida_1,0-nmol/mol,part_5,6,11-20,0.5825992424,0.154658989
no,corrida_1,0-nmol/mol,part_5,6,21-30,0.5591166667,0.1618438411
no,corrida_1,0-nmol/mol,part_6,7,1-10,0.5434073232,0.1343390189
no,corrida_1,0-nmol/mol,part_6,7,11-20,0.4883984848,0.06719095291
no,corrida_1,0-nmol/mol,part_6,7,21-30,0.5499414141,0.1494838346
no,corrida_1,0-nmol/mol,part_7,8,1-10,0.4861856061,0.07665874324
no,corrida_1,0-nmol/mol,part_7,8,11-20,0.5347545455,0.112003331
no,corrida_1,0-nmol/mol,part_7,8,21-30,0.5508540404,0.1090617166
no,corrida_1,0-nmol/mol,part_8,9,1-10,0.5433330808,0.1386669786
no,corrida_1,0-nmol/mol,part_8,9,11-20,0.5449631313,0.132615517
no,corrida_1,0-nmol/mol,part_8,9,21-30,0.5279151515,0.09430912602
no,corrida_1,0-nmol/mol,part_9,10,1-10,0.5940737374,0.1452300716
no,corrida_1,0-nmol/mol,part_9,10,11-20,0.6053777778,0.1070298366
no,corrida_1,0-nmol/mol,part_9,10,21-30,0.5087078283,0.08773351121
no,corrida_1,0-nmol/mol,ref,1,1-10,0.6216727273,0.1047867019
no,corrida_1,0-nmol/mol,ref,1,11-20,0.5531957071,0.1347390404
no,corrida_1,0-nmol/mol,ref,1,21-30,0.5053338384,0.1216067359
no,corrida_2,121-nmol/mol,part_1,2,1-10,120.3668379,0.09210861075
no,corrida_2,121-nmol/mol,part_1,2,11-20,120.3871937,0.07350626323
no,corrida_2,121-nmol/mol,part_1,2,21-30,120.3581423,0.06212437661
no,corrida_2,121-nmol/mol,part_2,3,1-10,120.373083,0.09563392466
no,corrida_2,121-nmol/mol,part_2,3,11-20,120.3420949,0.09719092632
no,corrida_2,121-nmol/mol,part_2,3,21-30,120.3537154,0.07606421302
no,corrida_2,121-nmol/mol,part_3,4,1-10,120.3666403,0.05626585527
no,corrida_2,121-nmol/mol,part_3,4,11-20,120.340751,0.07196798899
no,corrida_2,121-nmol/mol,part_3,4,21-30,120.3579842,0.06585112832
no,corrida_2,121-nmol/mol,part_4,5,1-10,120.31083,0.0739038132
no,corrida_2,121-nmol/mol,part_4,5,11-20,120.3735178,0.0811604897
no,corrida_2,121-nmol/mol,part_4,5,21-30,120.3779842,0.09711263059
no,corrida_2,121-nmol/mol,part_5,6,1-10,120.3604348,0.05230631249
no,corrida_2,121-nmol/mol,part_5,6,11-20,120.3442292,0.05389344128
no,corrida_2,121-nmol/mol,part_5,6,21-30,120.3132411,0.04001899022
no,corrida_2,121-nmol/mol,part_6,7,1-10,120.3779842,0.08807541612
no,corrida_2,121-nmol/mol,part_6,7,11-20,120.3843874,0.06519230031
no,corrida_2,121-nmol/mol,part_6,7,21-30,120.353004,0.05080224373
no,corrida_2,121-nmol/mol,part_7,8,1-10,120.3395257,0.04189847613
no,corrida_2,121-nmol/mol,part_7,8,11-20,120.3385375,0.04512675146
no,corrida_2,121-nmol/mol,part_7,8,21-30,120.3457312,0.06456912877
no,corrida_2,121-nmol/mol,part_8,9,1-10,120.3575494,0.1168306764
no,corrida_2,121-nmol/mol,part_8,9,11-20,120.3456522,0.06277586058
no,corrida_2,121-nmol/mol,part_8,9,21-30,120.3368775,0.08284864279
no,corrida_2,121-nmol/mol,part_9,10,1-10,120.3681423,0.05954393826
no,corrida_2,121-nmol/mol,part_9,10,11-20,120.3311462,0.08807871729
no,corrida_2,121-nmol/mol,part_9,10,21-30,120.3496443,0.07176624402
no,corrida_2,121-nmol/mol,ref,1,1-10,120.3495257,0.06110667108
no,corrida_2,121-nmol/mol,ref,1,11-20,120.351502,0.08120198266
no,corrida_2,121-nmol/mol,ref,1,21-30,120.3179051,0.09537575707
no,corrida_3,122-nmol/mol,part_1,2,1-10,40.73093023,0.04622203125
no,corrida_3,122-nmol/mol,part_1,2,11-20,40.72640698,0.0411917025
no,corrida_3,122-nmol/mol,part_1,2,21-30,40.72601163,0.05018875644
no,corrida_3,122-nmol/mol,part_2,3,1-10,40.7362907,0.05127581625
no,corrida_3,122-nmol/mol,part_2,3,11-20,40.75466279,0.04953938577
no,corrida_3,122-nmol/mol,part_2,3,21-30,40.74359302,0.05166029695
no,corrida_3,122-nmol/mol,part_3,4,1-10,40.71525581,0.04064695252
no,corrida_3,122-nmol/mol,part_3,4,11-20,40.7182093,0.05193304385
no,corrida_3,122-nmol/mol,part_3,4,21-30,40.75231395,0.0315904765
no,corrida_3,122-nmol/mol,part_4,5,1-10,40.73188372,0.04598274236
no,corrida_3,122-nmol/mol,part_4,5,11-20,40.70889535,0.03429000567
no,corrida_3,122-nmol/mol,part_4,5,21-30,40.72567442,0.03142910426
no,corrida_3,122-nmol/mol,part_5,6,1-10,40.73598837,0.04679189622
no,corrida_3,122-nmol/mol,part_5,6,11-20,40.72502326,0.0428066971
no,corrida_3,122-nmol/mol,part_5,6,21-30,40.72684884,0.05636723639
no,corrida_3,122-nmol/mol,part_6,7,1-10,40.71639535,0.04961524943
no,corrida_3,122-nmol/mol,part_6,7,11-20,40.74194186,0.06622716699
no,corrida_3,122-nmol/mol,part_6,7,21-30,40.73354651,0.0667880014
no,corrida_3,122-nmol/mol,part_7,8,1-10,40.7339186,0.06023343235
no,corrida_3,122-nmol/mol,part_7,8,11-20,40.70338372,0.06212958137
no,corrida_3,122-nmol/mol,part_7,8,21-30,40.75152326,0.03983325055
no,corrida_3,122-nmol/mol,part_8,9,1-10,40.74030233,0.04147120912
no,corrida_3,122-nmol/mol,part_8,9,11-20,40.73438372,0.05813757232
no,corrida_3,122-nmol/mol,part_8,9,21-30,40.73554651,0.05767647768
no,corrida_3,122-nmol/mol,part_9,10,1-10,40.74554651,0.04266190348
no,corrida_3,122-nmol/mol,part_9,10,11-20,40.71917442,0.03631298728
no,corrida_3,122-nmol/mol,part_9,10,21-30,40.70726744,0.04560898186
no,corrida_3,122-nmol/mol,ref,1,1-10,40.696,0.05696577968
no,corrida_3,122-nmol/mol,ref,1,11-20,40.7567093,0.07157692341
no,corrida_3,122-nmol/mol,ref,1,21-30,40.73066279,0.04917644117
no,corrida_4,180-nmol/mol,part_1,2,1-10,182.3168933,0.2247068468
no,corrida_4,180-nmol/mol,part_1,2,11-20,182.2239384,0.2492143404
no,corrida_4,180-nmol/mol,part_1,2,21-30,182.2571683,0.289236825
no,corrida_4,180-nmol/mol,part_2,3,1-10,182.1715358,0.2476231761
no,corrida_4,180-nmol/mol,part_2,3,11-20,182.1372816,0.2263049791
no,corrida_4,180-nmol/mol,part_2,3,21-30,182.2667096,0.2324005652
no,corrida_4,180-nmol/mol,part_3,4,1-10,182.185033,0.2253174494
no,corrida_4,180-nmol/mol,part_3,4,11-20,182.2114202,0.2735049675
no,corrida_4,180-nmol/mol,part_3,4,21-30,182.1885303,0.251685128
no,corrida_4,180-nmol/mol,part_4,5,1-10,182.4124576,0.2206094333
no,corrida_4,180-nmol/mol,part_4,5,11-20,182.2437679,0.2863283066
no,corrida_4,180-nmol/mol,part_4,5,21-30,182.2080627,0.2446810848
no,corrida_4,180-nmol/mol,part_5,6,1-10,182.4538988,0.2118613969
no,corrida_4,180-nmol/mol,part_5,6,11-20,182.1844048,0.2453656404
no,corrida_4,180-nmol/mol,part_5,6,21-30,182.3786689,0.2448988516
no,corrida_4,180-nmol/mol,part_6,7,1-10,182.2656755,0.2730106479
no,corrida_4,180-nmol/mol,part_6,7,11-20,182.2845886,0.2142394535
no,corrida_4,180-nmol/mol,part_6,7,21-30,182.2885479,0.2508373914
no,corrida_4,180-nmol/mol,part_7,8,1-10,182.3131122,0.2555636836
no,corrida_4,180-nmol/mol,part_7,8,11-20,182.2207492,0.2873333382
no,corrida_4,180-nmol/mol,part_7,8,21-30,182.1448647,0.2254933249
no,corrida_4,180-nmol/mol,part_8,9,1-10,182.3090935,0.2702009172
no,corrida_4,180-nmol/mol,part_8,9,11-20,182.3329362,0.2320016879
no,corrida_4,180-nmol/mol,part_8,9,21-30,182.2556106,0.2685197975
no,corrida_4,180-nmol/mol,part_9,10,1-10,182.3511727,0.2362811572
no,corrida_4,180-nmol/mol,part_9,10,11-20,182.2270352,0.2343965026
no,corrida_4,180-nmol/mol,part_9,10,21-30,182.206209,0.3031703021
no,corrida_4,180-nmol/mol,ref,1,1-10,182.2019934,0.2567448448
no,corrida_4,180-nmol/mol,ref,1,11-20,182.1313575,0.2519309189
no,corrida_4,180-nmol/mol,ref,1,21-30,182.3206095,0.2928181301
no,corrida_5,181-nmol/mol,part_1,2,1-10,180.215,0.07584294897
no,corrida_5,181-nmol/mol,part_1,2,11-20,180.1798913,0.07151599393
no,corrida_5,181-nmol/mol,part_1,2,21-30,180.2188043,0.09832675157
no,corrida_5,181-nmol/mol,part_2,3,1-10,180.1908696,0.09448147216
no,corrida_5,181-nmol/mol,part_2,3,11-20,180.2102174,0.0404734634
no,corrida_5,181-nmol/mol,part_2,3,21-30,180.235,0.07051137959
no,corrida_5,181-nmol/mol,part_3,4,1-10,180.2165217,0.05691243638
no,corrida_5,181-nmol/mol,part_3,4,11-20,180.2436957,0.04122417849
no,corrida_5,181-nmol/mol,part_3,4,21-30,180.1669565,0.0847674333
no,corrida_5,181-nmol/mol,part_4,5,1-10,180.2281522,0.06646640131
no,corrida_5,181-nmol/mol,part_4,5,11-20,180.2275,0.069338493
no,corrida_5,181-nmol/mol,part_4,5,21-30,180.2222826,0.08569932063
no,corrida_5,181-nmol/mol,part_5,6,1-10,180.22,0.04459083746
no,corrida_5,181-nmol/mol,part_5,6,11-20,180.2129348,0.09145296451
no,corrida_5,181-nmol/mol,part_5,6,21-30,180.1908696,0.05470702554
no,corrida_5,181-nmol/mol,part_6,7,1-10,180.1652174,0.07056944246
no,corrida_5,181-nmol/mol,part_6,7,11-20,180.2392391,0.07437065291
no,corrida_5,181-nmol/mol,part_6,7,21-30,180.2755435,0.04325501259
no,corrida_5,181-nmol/mol,part_7,8,1-10,180.1703261,0.0880428073
no,corrida_5,181-nmol/mol,part_7,8,11-20,180.1838043,0.0599907444
no,corrida_5,181-nmol/mol,part_7,8,21-30,180.2108696,0.1133542736
no,corrida_5,181-nmol/mol,part_8,9,1-10,180.228913,0.08106911384
no,corrida_5,181-nmol/mol,part_8,9,11-20,180.2279348,0.06647746071
no,corrida_5,181-nmol/mol,part_8,9,21-30,180.2027174,0.05897066099
no,corrida_5,181-nmol/mol,part_9,10,1-10,180.1943478,0.1001977671
no,corrida_5,181-nmol/mol,part_9,10,11-20,180.211413,0.08388170236
no,corrida_5,181-nmol/mol,part_9,10,21-30,180.2352174,0.04861881446
no,corrida_5,181-nmol/mol,ref,1,1-10,180.1725,0.07611809232
no,corrida_5,181-nmol/mol,ref,1,11-20,180.19,0.06386644264
no,corrida_5,181-nmol/mol,ref,1,21-30,180.1851087,0.05513928536
no,corrida_6,182-nmol/mol,part_1,2,1-10,75.85236709,0.5378399105
no,corrida_6,182-nmol/mol,part_1,2,11-20,76.11731646,0.1963242107
no,corrida_6,182-nmol/mol,part_1,2,21-30,75.94360759,0.2279644823
no,corrida_6,182-nmol/mol,part_2,3,1-10,76.05496203,0.2665683256
no,corrida_6,182-nmol/mol,part_2,3,11-20,75.98405063,0.3859175253
no,corrida_6,182-nmol/mol,part_2,3,21-30,75.84391139,0.4259682838
no,corrida_6,182-nmol/mol,part_3,4,1-10,76.11444304,0.2790991761
no,corrida_6,182-nmol/mol,part_3,4,11-20,76.04705063,0.3584022976
no,corrida_6,182-nmol/mol,part_3,4,21-30,76.21553165,0.3017724413
no,corrida_6,182-nmol/mol,part_4,5,1-10,76.0948481,0.2718889192
no,corrida_6,182-nmol/mol,part_4,5,11-20,76.32394937,0.2370169765
no,corrida_6,182-nmol/mol,part_4,5,21-30,76.11935443,0.3228409066
no,corrida_6,182-nmol/mol,part_5,6,1-10,76.12758228,0.1803231727
no,corrida_6,182-nmol/mol,part_5,6,11-20,76.21025316,0.3275887358
no,corrida_6,182-nmol/mol,part_5,6,21-30,76.22044304,0.3118063653
no,corrida_6,182-nmol/mol,part_6,7,1-10,76.08998734,0.2195682761
no,corrida_6,182-nmol/mol,part_6,7,11-20,76.1051519,0.3211660025
no,corrida_6,182-nmol/mol,part_6,7,21-30,76.18751899,0.39121456
no,corrida_6,182-nmol/mol,part_7,8,1-10,76.19882278,0.3793524443
no,corrida_6,182-nmol/mol,part_7,8,11-20,76.04243038,0.2292657554
no,corrida_6,182-nmol/mol,part_7,8,21-30,75.9516962,0.3432957766
no,corrida_6,182-nmol/mol,part_8,9,1-10,76.17851899,0.2639726995
no,corrida_6,182-nmol/mol,part_8,9,11-20,76.23553165,0.3373140667
no,corrida_6,182-nmol/mol,part_8,9,21-30,76.21393671,0.4029710843
no,corrida_6,182-nmol/mol,part_9,10,1-10,76.27362025,0.30903607
no,corrida_6,182-nmol/mol,part_9,10,11-20,76.00982278,0.3955819281
no,corrida_6,182-nmol/mol,part_9,10,21-30,76.01855696,0.3400057819
no,corrida_6,182-nmol/mol,ref,1,1-10,76.00375949,0.3800211763
no,corrida_6,182-nmol/mol,ref,1,11-20,75.9988481,0.1142483032
no,corrida_6,182-nmol/mol,ref,1,21-30,76.14516456,0.451369161
no,corrida_7,42-nmol/mol,part_1,2,1-10,24.91768824,0.6123899106
no,corrida_7,42-nmol/mol,part_1,2,11-20,25.31072941,1.21833234
no,corrida_7,42-nmol/mol,part_1,2,21-30,24.99147647,0.9304830094
no,corrida_7,42-nmol/mol,part_2,3,1-10,24.68692941,0.8060345698
no,corrida_7,42-nmol/mol,part_2,3,11-20,25.79021765,1.546097988
no,corrida_7,42-nmol/mol,part_2,3,21-30,24.89227647,0.9252527612
no,corrida_7,42-nmol/mol,part_3,4,1-10,24.91354118,0.9371370846
no,corrida_7,42-nmol/mol,part_3,4,11-20,25.00597647,1.501453276
no,corrida_7,42-nmol/mol,part_3,4,21-30,24.56381765,1.012241445
no,corrida_7,42-nmol/mol,part_4,5,1-10,24.90388235,0.831143422
no,corrida_7,42-nmol/mol,part_4,5,11-20,24.73051176,1.163077742
no,corrida_7,42-nmol/mol,part_4,5,21-30,24.31883529,0.8256731653
no,corrida_7,42-nmol/mol,part_5,6,1-10,24.97400588,1.00038374
no,corrida_7,42-nmol/mol,part_5,6,11-20,24.79198824,1.651120423
no,corrida_7,42-nmol/mol,part_5,6,21-30,25.23847647,1.052867927
no,corrida_7,42-nmol/mol,part_6,7,1-10,25.11832941,0.9223797791
no,corrida_7,42-nmol/mol,part_6,7,11-20,24.69144706,1.56925932
