"Pollutant","Level","Items","Replicates","sigma_pt","u_xpt","ss","sw","c_criterion","c_criterion_expanded","Meets_Criterion","Meets_Expanded","Conclusion"
"no2","120-ppb",10,3,0.5247,0.2074,58.7807,83.1415,0.1574,83.5564,"No","Yes","ss (58.7807) > c_criterion (0.1574): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (58.7807) <= c_expanded (83.5564): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"no2","30-ppb",10,3,0.0214,0.0084,13.7694,19.5252,0.0064,19.6226,"No","Yes","ss (13.7694) > c_criterion (0.0064): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (13.7694) <= c_expanded (19.6226): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"no2","60-ppb",10,3,0.148,0.0585,29.794,42.1584,0.0444,42.3687,"No","Yes","ss (29.7940) > c_criterion (0.0444): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (29.7940) <= c_expanded (42.3687): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"no2","90-ppb",10,3,0.0664,0.0262,45.6905,64.6321,0.0199,64.9544,"No","Yes","ss (45.6905) > c_criterion (0.0199): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (45.6905) <= c_expanded (64.9544): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"o3","0-ppb",10,3,0,0,2.9337,4.3875,0,4.4094,"No","Yes","ss (2.9337) > c_criterion (0.0000): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (2.9337) <= c_expanded (4.4094): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"o3","120-ppb",10,3,1.2393,0.4899,57.2868,81.0386,0.3718,81.4444,"No","Yes","ss (57.2868) > c_criterion (0.3718): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (57.2868) <= c_expanded (81.4444): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"o3","180-ppb",10,3,0.2533,0.1001,86.6778,122.6007,0.076,123.2122,"No","Yes","ss (86.6778) > c_criterion (0.0760): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (86.6778) <= c_expanded (123.2122): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"o3","40-ppb",10,3,0.0763,0.0302,17.6318,24.9675,0.0229,25.092,"No","Yes","ss (17.6318) > c_criterion (0.0229): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (17.6318) <= c_expanded (25.0920): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"o3","80-ppb",10,3,0.0602,0.0238,37.3278,52.8057,0.0181,53.0691,"No","Yes","ss (37.3278) > c_criterion (0.0181): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (37.3278) <= c_expanded (53.0691): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"so2","0-ppb",10,3,0.0406,0.016,2.9288,4.381,0.0122,4.4029,"No","Yes","ss (2.9288) > c_criterion (0.0122): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (2.9288) <= c_expanded (4.4029): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"so2","100-ppb",10,3,0.7757,0.3066,47.1381,66.678,0.2327,67.0114,"No","Yes","ss (47.1381) > c_criterion (0.2327): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (47.1381) <= c_expanded (67.0114): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"so2","140-ppb",10,3,0.1313,0.0519,66.9503,94.6949,0.0394,95.1672,"No","Yes","ss (66.9503) > c_criterion (0.0394): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (66.9503) <= c_expanded (95.1672): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"so2","180-ppb",10,3,0.1208,0.0477,87.6173,123.9162,0.0362,124.5342,"No","Yes","ss (87.6173) > c_criterion (0.0362): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (87.6173) <= c_expanded (124.5342): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"so2","60-ppb",10,3,0.0295,0.0117,27.2298,38.5353,0.0089,38.7275,"No","Yes","ss (27.2298) > c_criterion (0.0089): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (27.2298) <= c_expanded (38.7275): CUMPLE CRITERIO EXP HOMOGENEIDAD"
