"entregable","ruta","rol","estado_documental","extension","tamano_bytes","sha256","estado_git"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-05_homogeneidad_resultado.png","evidencia","pendiente_revision","png",485414,"cc4d781644b829ef19ce83001c4a7bc0bfe2c0e6093b2034d8b8f9fbf1b79b7c","modificado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-06_estabilidad_resultado.png","evidencia","pendiente_revision","png",399478,"a8578d603903c3e30805a2f7c2d1942a7f208966b2b8e2ebd86dfa0f2e10235c","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-07_incertidumbre_he.png","evidencia","pendiente_revision","png",349364,"3ba932645e176211ee5c46399b6000ab9bf1b3be0da7e937eeed802dab7358c5","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-08_valores_atipicos.png","evidencia","pendiente_revision","png",265019,"1cc6626a4a6e0a75d1261369a564d55c5981a612a747ff81c229524a7174f9aa","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-09_algoritmo_a.png","evidencia","pendiente_revision","png",500622,"42fd3c451daec1195e08dd6cd10a8fd6a1dc4deb7778a7e7d8ffbb7cb21307af","modificado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-10_valor_consenso.png","evidencia","pendiente_revision","png",307065,"93e07d0b4eed59d0a09725995eca82e85b48b32037c9b1f5a705eb2d66d6430f","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-11_compatibilidad_metrologica.png","evidencia","pendiente_revision","png",341988,"03ea6d8474190b82f781b5d73bfab1601c2ef51675a6569f28fe8caacc0833ba","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-12_puntajes_resumen.png","evidencia","pendiente_revision","png",671631,"68094bd11f265998f934bb5c6b42fd46a8180b4d13aca688bc4694a3577d058b","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-13_puntajes_z.png","evidencia","pendiente_revision","png",229592,"dd7423b607e2aa78e01230280200a5e054581bdcfacecba69377d067f63a4f98","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-13_puntajes_zprima.png","evidencia","pendiente_revision","png",231434,"e1f975f5eb9d8c4efefc20e39cbd753eaef6b91ae7ea719bfb0475c9bb2cc6a2","modificado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-14_puntajes_en.png","evidencia","pendiente_revision","png",231775,"e38035e2c7e994c85c74fa1fbe417f8bb547627c8e7ffa0c9088eec6cdd9c216","modificado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-14_puntajes_zeta.png","evidencia","pendiente_revision","png",230590,"5700bcb597a84a4bba8584ca81ac0f857430fe2284d0c5ce274f146c54be5c3f","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-15_informe_global.png","evidencia","pendiente_revision","png",405565,"f591cd3b22ca383507598c5eb719a19666b98c8a5c8afdb200b8031ba46e289e","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-16_participantes.png","evidencia","pendiente_revision","png",214227,"b481c06f11b2fe9dbb8904c6283ec95b14152fc7822a5d9f6f57b8120fb4755c","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-17_generacion_informes.png","evidencia","pendiente_revision","png",310656,"4bfd8a4b4f0fd7ecb865ec0d9e3ce38965b3c85f25a27c680c9415e6a1f0b968","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-18_error_archivo.png","evidencia","pendiente_revision","png",318448,"6cf33a287460ebbe3fe62501bd775f5cb09229e47a90391e9e49900656f0b4e7","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/capturas/CAP-19_resolucion_menor.png","evidencia","pendiente_revision","png",311938,"b4ee2b477ef8fc556076a5d6593d7e2b99f3fc0012dd23bcfa6783883714ca28","modificado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/datos_demo/archivo_invalido.csv","dato","pendiente_revision","csv",40,"4162dc1bb8a3cae0ac267414100d8206e7472063eb4fa53a09c848b9ec741763","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/datos_demo/homogeneity_demo.csv","dato","pendiente_revision","csv",25864,"3fe056f967859be67eb3bdb1061bb02744f8d667f77f1146462f1130d117367d","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/datos_demo/stability_demo.csv","dato","pendiente_revision","csv",5184,"83de7bb6210eb55d073b24a0c00c1a81a0bc462c8c790e9edbbd8d8695c1c3f6","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/datos_demo/summary_demo.csv","dato","pendiente_revision","csv",33980,"51e5142c12c673355841e504d787c1fc63f455e29942ae048ec7a810f65f1329","rastreado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/indice_capturas.csv","dato","pendiente_revision","csv",7007,"59f0447b2d4ea1f1f01df1b4cbf115fdcdcc597cb3ff48e47cb6ba20e4fd84b9","modificado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/indice_capturas.md","fuente_documental","pendiente_revision","md",4649,"ec23d484850d014f09621c3afe84706a4092097cecbf0b281d58d894713cd732","modificado"
"00_evidencia_visual","Entregables_pt_app/00_evidencia_visual/registro_ejecucion.json","otro","pendiente_revision","json",4142,"3803c2bf8da6ed3e7ca5a620b490493a96f61322ff33e6f184a035b69226caf8","modificado"
"00_linea_base","Entregables_pt_app/00_linea_base/fuentes_y_requisitos.md","fuente_documental","vigente_fase_1","md",2884,"36d1cf748d6cb8c3378dd6c54334af2678fdda0618805a9a866920f0bcb3fbfb","rastreado"
"00_linea_base","Entregables_pt_app/00_linea_base/linea_base_version.md","fuente_documental","vigente_fase_1","md",2027,"99a0f958231c463ecadb9b62a981c9924e720571f8ec2b2dfdb3cae3e89f4cc2","rastreado"
"00_linea_base","Entregables_pt_app/00_linea_base/mapa_funcional.md","fuente_documental","vigente_fase_1","md",8103,"d99424be921e65593ebfaee9e6266850d9a749e745f7a12c2a04462a2debef79","rastreado"
"00_linea_base","Entregables_pt_app/00_linea_base/matriz_brechas.md","fuente_documental","vigente_fase_1","md",3774,"ec72388a878eaeda6146e9a79adc92b77c6a7111c439e2f0a88954e8ba8c56dd","rastreado"
"00_linea_base","Entregables_pt_app/00_linea_base/README.md","fuente_documental","vigente_fase_1","md",1611,"a3f01913bb73a7142370c6b4ff2098523f94c88f47bd1995ae3960321a21e7aa","rastreado"
"01_repo_inicial","Entregables_pt_app/01_repo_inicial/app_original.R","ejecutable","historico","r",181609,"3dab2caa410ceed2fa12e0e4968428f8901d09d39fedcdc179edbfcb037905ee","rastreado"
"01_repo_inicial","Entregables_pt_app/01_repo_inicial/R/pt_homogeneity.R","ejecutable","pendiente_revision","r",14491,"b995de5ffdf2b4bb118cccfefbfe23b470505601a9a236be994fff2eb8ab217e","rastreado"
"01_repo_inicial","Entregables_pt_app/01_repo_inicial/R/pt_robust_stats.R","ejecutable","pendiente_revision","r",7838,"b0fe77110e4f72aaa744548c2e965edfc0aa10c2144acbe7d9d13a5726f2fdcf","rastreado"
"01_repo_inicial","Entregables_pt_app/01_repo_inicial/R/pt_scores.R","ejecutable","pendiente_revision","r",5113,"fbf7458475986d54a6e71a27df17ff6953d47ba90b98af32f6b9c9a919265cd6","rastreado"
"01_repo_inicial","Entregables_pt_app/01_repo_inicial/R/utils.R","ejecutable","pendiente_revision","r",3605,"77c49354652225d0793e592209496ba366da0dd8cb4707a9fa219cb0943d2b70","rastreado"
"01_repo_inicial","Entregables_pt_app/01_repo_inicial/README.docx","derivado","pendiente_revision","docx",12059,"460dabc7f69ee0f4d2adb59fedcd3b3ac598a1f6ffe34683aa1aeed0bc43412c","rastreado"
"01_repo_inicial","Entregables_pt_app/01_repo_inicial/README.md","fuente_documental","pendiente_revision","md",2398,"ee776812fada7267be3eb572a8c1267aacd7918bfb2b7acf1cbda828ba76ddeb","rastreado"
"01_repo_inicial","Entregables_pt_app/01_repo_inicial/test_01_resultados.csv","prueba","pendiente_revision","csv",1322,"e6cf6dc195fdfea2c9bb1e706951a1ab632f42cf4ec30544534aeb381048c5e7","rastreado"
"01_repo_inicial","Entregables_pt_app/01_repo_inicial/tests/test_01_existencia_archivos.docx","prueba","pendiente_revision","docx",13671,"ad7256aeebfa1390513acdcf1ada69822e1a12cffcf260d8226b4a893dc1ea50","rastreado"
"01_repo_inicial","Entregables_pt_app/01_repo_inicial/tests/test_01_existencia_archivos.md","prueba","pendiente_revision","md",4567,"f9aad79a653ea1e2ac99d8ff10b23dadbcc307bb9543cff908c98e59be8996ca","rastreado"
"01_repo_inicial","Entregables_pt_app/01_repo_inicial/tests/test_01_existencia_archivos.R","prueba","pendiente_revision","r",8190,"e41d32269b55676c37655eb37565492e72ad6d007697904ce6261a50fb7c9400","rastreado"
"02_funciones_usadas","Entregables_pt_app/02_funciones_usadas/documentacion_funciones.docx","derivado","pendiente_revision","docx",27777,"204846db78be8a683b9c1d36a544d1711a59663a5e30806486197c689006fdee","rastreado"
"02_funciones_usadas","Entregables_pt_app/02_funciones_usadas/funciones_extraidas.csv","dato","pendiente_revision","csv",29445,"b6df9b808b2f9afd423ab6ad7b58d305096bdc0e572cda301b155fa05061c86a","rastreado"
"02_funciones_usadas","Entregables_pt_app/02_funciones_usadas/md/documentacion_funciones.md","fuente_documental","pendiente_revision","md",44174,"95ae678ee2f6c7e3becf288965627a542b139554acba6e1c0f84caeac8be310b","rastreado"
"02_funciones_usadas","Entregables_pt_app/02_funciones_usadas/R/lista_funciones.R","ejecutable","pendiente_revision","r",42110,"cfbbb0a7576e5cd0844313ca645938a9a7844e2b4099a3a2b4b6eb3ef1890d59","rastreado"
"02_funciones_usadas","Entregables_pt_app/02_funciones_usadas/README.docx","derivado","pendiente_revision","docx",15429,"1d6e83ba746adb9cb48817087c18f6de09300b10a8dc63e5f26a6799b6a4d7f0","rastreado"
"02_funciones_usadas","Entregables_pt_app/02_funciones_usadas/README.md","fuente_documental","pendiente_revision","md",8041,"c4d2831a796e02a8a1d5520faa68bcedec341038c6af6581cd582efa14884118","rastreado"
"02_funciones_usadas","Entregables_pt_app/02_funciones_usadas/test_02_resultados.csv","prueba","pendiente_revision","csv",2039,"473b24a90bcce180437a4a1a4b651d850c1b4a4af133c126d05bd41f104c1058","rastreado"
"02_funciones_usadas","Entregables_pt_app/02_funciones_usadas/tests/test_02_firma_funciones.docx","prueba","pendiente_revision","docx",14895,"4ea4616e59c539ff86434558a588afc7af01d84be8bce9b36a8dca0eb4b4267c","rastreado"
"02_funciones_usadas","Entregables_pt_app/02_funciones_usadas/tests/test_02_firma_funciones.md","prueba","pendiente_revision","md",6057,"59623079cae425e6cb217ce942f1bde2e8f380984f49a12441acd4c204680cfe","rastreado"
"02_funciones_usadas","Entregables_pt_app/02_funciones_usadas/tests/test_02_firma_funciones.R","prueba","pendiente_revision","r",8194,"9c89374daf2fc48da32a132c9e0b47abac91a3b1dce97b6915d44611456af095","rastreado"
"03_calculos_pt","Entregables_pt_app/03_calculos_pt/ejemplo_calculo_paso_a_paso.docx","derivado","pendiente_revision","docx",16362,"4fb255c26b62e8d3cf27f3859724dc4632972f9c249c1f193a32761fa0fce17d","rastreado"
"03_calculos_pt","Entregables_pt_app/03_calculos_pt/md/ejemplo_calculo_paso_a_paso.md","fuente_documental","pendiente_revision","md",7956,"f7e01d1a9e55214bb6427f1bcf373d28ddf8157ccbeb2c6c5026a6269de12bc8","rastreado"
"03_calculos_pt","Entregables_pt_app/03_calculos_pt/R/homogeneity.R","ejecutable","pendiente_revision","r",7135,"951a4e7559f3fc907e410142a9b0019368bd0c7c7715e6ccc50fe81c51a970d9","rastreado"
"03_calculos_pt","Entregables_pt_app/03_calculos_pt/R/robust_stats.R","ejecutable","pendiente_revision","r",7923,"4c24754c71dcf04d1b7738d4c189fe33f617dae1b7ca0649cdcd9cbc8d773347","rastreado"
"03_calculos_pt","Entregables_pt_app/03_calculos_pt/R/sigma_pt.R","ejecutable","pendiente_revision","r",7408,"5df20562b8f3ad329be5791a401ec3d5cf3de93f2b6141800f781de344ba84de","rastreado"
"03_calculos_pt","Entregables_pt_app/03_calculos_pt/R/stability.R","ejecutable","pendiente_revision","r",7051,"0e3013fec73e24ee4c422b1460ee96f49e15d18787b836886af42eb2b1669392","rastreado"
"03_calculos_pt","Entregables_pt_app/03_calculos_pt/R/valor_asignado.R","ejecutable","pendiente_revision","r",8378,"af35b9c7d9a808cf1711f4fb5888eff60cf6f8abbc189d71f293e2c9a7730f6b","rastreado"
"03_calculos_pt","Entregables_pt_app/03_calculos_pt/tests/test_03_calculos_pt.R","prueba","pendiente_revision","r",17871,"db932be64ebe4dcd6f8905ccd666dd8175bb062ae2a92d1c087982f68064bcd6","rastreado"
"03_calculos_pt","Entregables_pt_app/03_calculos_pt/tests/test_03_resultados.csv","prueba","pendiente_revision","csv",409,"e60cafdfccc960d2a93a6240ff1a818ff77e6c62ec5aa356b56e979b6881620a","rastreado"
"04_puntajes","Entregables_pt_app/04_puntajes/formulas_y_ejemplos.docx","derivado","pendiente_revision","docx",16281,"7df4b9fc0142f4ba15425adfc7f543125a4af6ff093aabfcc8765964279f44d9","rastreado"
"04_puntajes","Entregables_pt_app/04_puntajes/md/formulas_y_ejemplos.md","fuente_documental","pendiente_revision","md",9636,"107f858121ddb7404407de360b9e4809632fd349cda0d068a8d7022e4b0dc126","rastreado"
"04_puntajes","Entregables_pt_app/04_puntajes/R/calcula_puntajes.R","ejecutable","pendiente_revision","r",10373,"ce3c2a78d8b49268486e915f4d42d0c6b695cd6944872a6c118dc0e54bb295da","rastreado"
"04_puntajes","Entregables_pt_app/04_puntajes/R/crea_reporte.R","ejecutable","pendiente_revision","r",8109,"d2aa8bcb30429d67d3286aa0ca7b7966222789e26408636be7e5f3e07ee2d899","rastreado"
"04_puntajes","Entregables_pt_app/04_puntajes/tests/test_04_puntajes.R","prueba","pendiente_revision","r",11871,"49e7d2e287192ba93f21f08ba67613c69b131e989c0af5b56afa504d84eab1e4","rastreado"
"05_prototipo_ui","Entregables_pt_app/05_prototipo_ui/html/prototipo.html","derivado","pendiente_revision","html",66545,"64d8944172a83c8596cbb53882ea0e5698ff5863a1aa25abce80dc0a90d6c1a5","rastreado"
"05_prototipo_ui","Entregables_pt_app/05_prototipo_ui/md/wireframes.md","fuente_documental","pendiente_revision","md",15182,"b1b7867762d356566cf82f95db4779dcc073a53c45feec37e29a46c3518148c1","rastreado"
"05_prototipo_ui","Entregables_pt_app/05_prototipo_ui/mmd/diagrama_navegacion.mmd","fuente_documental","pendiente_revision","mmd",1296,"3394a47f14fe52837b73450143fc71289423826538c11cb0c7961d3638125857","rastreado"
"05_prototipo_ui","Entregables_pt_app/05_prototipo_ui/tests/test_05_navegacion.docx","prueba","pendiente_revision","docx",17091,"5ea83a0434177de53e67cd9eb1d5924c8611ba908314b3de65658cbe4624802d","rastreado"
"05_prototipo_ui","Entregables_pt_app/05_prototipo_ui/tests/test_05_navegacion.md","prueba","pendiente_revision","md",10612,"7b1910e30ba3ba87292d4297e7e90df4580429147f10664725f1a6a231b613d0","rastreado"
"05_prototipo_ui","Entregables_pt_app/05_prototipo_ui/tests/test_05_navegacion.R","prueba","pendiente_revision","r",10563,"f0b112c28a190ef8762d815f5ad9a4d998f4b95615d129c3cbefe00f3eedae23","rastreado"
"05_prototipo_ui","Entregables_pt_app/05_prototipo_ui/wireframes.docx","derivado","pendiente_revision","docx",18700,"86aa859d2092729d95e8bf21b7143ee9f858523b7bc063189c3b5f2fe89b6ca3","rastreado"
"06_app_logica","Entregables_pt_app/06_app_logica/app_v06.R","ejecutable","historico","r",17471,"70f7c66118bb0dc992b12da06cc4f200f33b44c03c0c2e48370479fc7e5d8220","rastreado"
"06_app_logica","Entregables_pt_app/06_app_logica/manual_usuario.docx","derivado","pendiente_revision","docx",15931,"04a276c9f6de084ea3ca5f8858cd730ab04266e4ae9c9aac0d62b42bd2142ddd","rastreado"
"06_app_logica","Entregables_pt_app/06_app_logica/md/manual_usuario.md","fuente_documental","pendiente_revision","md",8468,"d50707dbe65cdaf89d7db8374e0b3be0946b730af877ae3257c3a74932380509","rastreado"
"06_app_logica","Entregables_pt_app/06_app_logica/tests/test_06_logica.csv","prueba","pendiente_revision","csv",545,"319fb662418e452938d9731c0f1ea62104617f6ef06f0a799f2adc566820c968","rastreado"
"06_app_logica","Entregables_pt_app/06_app_logica/tests/test_06_logica.R","prueba","pendiente_revision","r",11300,"41ffbdad59df4647f3bd9e5d4d3e0a8a326437d0341b3442c22aada9a98f8b01","rastreado"
"07_dashboards","Entregables_pt_app/07_dashboards/app_v07.R","ejecutable","historico","r",23023,"31ad46fcc6d5796269695473d26c324c73b310edfaf793a800d94e116d359d1d","rastreado"
"07_dashboards","Entregables_pt_app/07_dashboards/md/diagrama_flujo.mmd","fuente_documental","pendiente_revision","mmd",1023,"e7eb870d2f2568c9501764b29ee98ca1d6a2819f246d04b4baadbbe6b96fb3ee","rastreado"
"07_dashboards","Entregables_pt_app/07_dashboards/md/documentacion_dashboards.md","fuente_documental","pendiente_revision","md",838,"cf2c3d4ead745b0ee434523fd695e44a4f5e92de3c7f1c8cf78a2fe1ae1542dc","rastreado"
"07_dashboards","Entregables_pt_app/07_dashboards/tests/test_07_graficos.docx","prueba","pendiente_revision","docx",16496,"877a96df222ff7333e6bbf708a7a2339e6d5a34534e37d6a5efb927308a16979","rastreado"
"07_dashboards","Entregables_pt_app/07_dashboards/tests/test_07_graficos.md","prueba","pendiente_revision","md",12001,"3717f947807766d7b9a9be3b546d960dd6f99a0713ee88a48660a811b662342c","rastreado"
"07_dashboards","Entregables_pt_app/07_dashboards/tests/test_07_graficos.R","prueba","pendiente_revision","r",14058,"d8f2583f461f487747158c1074924877e214b1f2059efebe1c961c75b0bebbab","rastreado"
"08_beta","Entregables_pt_app/08_beta/app_final.R","ejecutable","historico","r",19355,"8162d5c79cc33135bfec7dadd1b75a016e122069866f4d068a2b7c5ba8e016da","rastreado"
"08_beta","Entregables_pt_app/08_beta/manual_desarrollador.docx","derivado","pendiente_revision","docx",18646,"fce9abf24625191d88412ade1354e49d0865908f7ad16de7ac03d33de8f1569a","rastreado"
"08_beta","Entregables_pt_app/08_beta/md/manual_desarrollador.md","fuente_documental","pendiente_revision","md",14524,"95a2a1e3cb6bec089ef1105ae53372f8033a9c5707e7585683ca27e856aeff14","rastreado"
"08_beta","Entregables_pt_app/08_beta/R/funciones_finales.R","ejecutable","pendiente_revision","r",21471,"ecf592502b59e955072f52c6e7462654f11d6b549046f5e10389b423360b5dfe","rastreado"
"08_beta","Entregables_pt_app/08_beta/tests/test_08_end_to_end.docx","prueba","pendiente_revision","docx",15572,"060c2082524121dfb72893f74a26d4c3475499f2cdfa59761b73f18dd2afb463","rastreado"
"08_beta","Entregables_pt_app/08_beta/tests/test_08_end_to_end.md","prueba","pendiente_revision","md",6946,"30d63795cc017927c44da9fe86777d3ccedf328d8e744f45249bede9f33c11ab","rastreado"
"08_beta","Entregables_pt_app/08_beta/tests/test_08_end_to_end.R","prueba","pendiente_revision","r",10866,"05f16717fd51ed94761162584a7d9d3fde7492892ea23276f9671a915330ae8d","rastreado"
"09_informe_final","Entregables_pt_app/09_informe_final/anexo_calculos.docx","derivado","pendiente_revision","docx",18337,"2ec511778b796255a7d86c5b2cea405c01759747e18d4ef09faff663ce375b1b","rastreado"
"09_informe_final","Entregables_pt_app/09_informe_final/anexos/estabilidad_resultados.csv","evidencia","pendiente_revision","csv",2635,"e75859ac40961c8fd5e53e08288bc2b8ceeef17a8b8315f1ad7fa6b5761ebeee","rastreado"
"09_informe_final","Entregables_pt_app/09_informe_final/anexos/estadisticos_robustos.csv","evidencia","pendiente_revision","csv",3500,"512cfa20a8bc219ff62f00ec0a6f0cc55fbacb49cf44521055c66cf33cdcc871","rastreado"
"09_informe_final","Entregables_pt_app/09_informe_final/anexos/generacion_log.txt","evidencia","pendiente_revision","txt",638,"6e71039a74d64fdbc9a10a4151c4a7306e3b9d489062469954da623bd1497b0b","rastreado"
"09_informe_final","Entregables_pt_app/09_informe_final/anexos/homogeneidad_resultados.csv","evidencia","pendiente_revision","csv",4918,"9d7ba4ced23b8faa468247910dcdec6b2f3bf25aa65485841c0f22892a4851c4","rastreado"
"09_informe_final","Entregables_pt_app/09_informe_final/anexos/puntajes_pt.csv","evidencia","pendiente_revision","csv",82571,"d951b47b210cd9822eef8ce3eb4f66fc838d8cc833b30da446def12390ac44f6","rastreado"
"09_informe_final","Entregables_pt_app/09_informe_final/anexos/resumen_puntajes.csv","evidencia","pendiente_revision","csv",1082,"f90eef2f50b92683ea5abaeddf6088d42f25b47266b636cdf8ac3720a0af6431","rastreado"
"09_informe_final","Entregables_pt_app/09_informe_final/informe_validacion.docx","derivado","pendiente_revision","docx",20513,"264a999b6745806b55c41433475664f0ca09e910800d4083c9a5f90ef9f2b8cd","rastreado"
"09_informe_final","Entregables_pt_app/09_informe_final/informe_validacion.pdf","derivado","pendiente_revision","pdf",186250,"72f6328d34d5df72467cbcef8d1d3e0efe50683289bdd13435ff00a0409af38e","rastreado"
"09_informe_final","Entregables_pt_app/09_informe_final/md/anexo_calculos.md","fuente_documental","pendiente_revision","md",11520,"e7d2dba0c64aad93a45dabaed46a26845a58329c98b6a1ee7b301192477fe27d","rastreado"
"09_informe_final","Entregables_pt_app/09_informe_final/md/informe_validacion.md","fuente_documental","pendiente_revision","md",20252,"c01251fe5aff1f1518e31640ef0ecf614d647c95779ad862d2bd66d4722c163d","rastreado"
"09_informe_final","Entregables_pt_app/09_informe_final/R/genera_anexos.R","ejecutable","pendiente_revision","r",12952,"c131e210a7afea44f5e638935f1d2223f540f1d74e11040e5f1bf3bc3f8b2c88","rastreado"
"09_informe_final","Entregables_pt_app/09_informe_final/tests/test_09_reproducibilidad.R","prueba","pendiente_revision","r",8831,"d8a85a2f711ecbdd5442a6341e3b26a69e95a075162571102b87b4ba8de325e9","rastreado"
"TRANSVERSAL","Entregables_pt_app/bitacora_actualizacion_260616.md","fuente_documental","pendiente_revision","md",6144,"860f4f58916f6e87b429b592cba6da0b0df8f4992bf933584d5742b5e0dd1d64","rastreado"
"TRANSVERSAL","Entregables_pt_app/e1.md","fuente_documental","pendiente_revision","md",4268,"5bffb393f5df64a476c01f14c4dfc1d1bce03550ab38e1b275d902a90347b206","rastreado"
"TRANSVERSAL","Entregables_pt_app/e2.md","fuente_documental","pendiente_revision","md",5587,"be7ea0111557f52f530728fad914651773fe52b2f3f34ce02b269d1bf28606df","rastreado"
"TRANSVERSAL","Entregables_pt_app/e3.md","fuente_documental","pendiente_revision","md",4837,"c0cd2cf4fbf994b668c4dbe6bcb2c0fba03c0905f7b03ede95d27c6c19705a9b","rastreado"
"TRANSVERSAL","Entregables_pt_app/e4.md","fuente_documental","pendiente_revision","md",4178,"7d231ee23551a2b69c5808979089ed735f5d04fcf4c3e692ff467dbea8d71c70","rastreado"
"TRANSVERSAL","Entregables_pt_app/e5.md","fuente_documental","pendiente_revision","md",4157,"a95e44968ea7020524e4da6857b745c1e986b5cb2c7084243622c7050a108dca","rastreado"
"TRANSVERSAL","Entregables_pt_app/e6.md","fuente_documental","pendiente_revision","md",3975,"baa8403082d6ad5bc72ba3a84cbd3b6399f784a403c0ab30f8484604512c0c0f","rastreado"
