study_type,pollutant,run,level,replicate,sample_id,dataset_id,value,minute_pool_n,simulated_minutes_n,seed,input_path
homogeneity,no2,corrida_3,105-nmol/mol,1,9,9,106.005,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,1,10,10,105.836,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,2,1,11,105.848,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,2,2,12,105.845,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,2,3,13,106.017,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,2,4,14,105.949,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,2,5,15,106.777,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,2,6,16,105.991,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,2,7,17,106.364,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,2,8,18,106.763,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,2,9,19,105.904,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_3,105-nmol/mol,2,10,20,106.289,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,1,1,1,61.521,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,1,2,2,61.789,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,1,3,3,61.574,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,1,4,4,61.593,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,1,5,5,61.664,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,1,6,6,61.882,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,1,7,7,61.687,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,1,8,8,61.671,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,1,9,9,61.569,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,1,10,10,61.817,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,2,1,11,61.852,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,2,2,12,61.94,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,2,3,13,61.827,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,2,4,14,61.604,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,2,5,15,61.59,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,2,6,16,61.588,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,2,7,17,61.524,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,2,8,18,61.506,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,2,9,19,61.501,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_4,60-nmol/mol,2,10,20,61.522,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,1,1,1,32.035,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,1,2,2,32.193,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,1,3,3,32.03,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,1,4,4,32.207,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,1,5,5,32.224,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,1,6,6,31.967,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,1,7,7,32.054,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,1,8,8,32.258,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,1,9,9,31.974,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,1,10,10,32.186,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,2,1,11,32.026,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,2,2,12,32.046,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,2,3,13,32.174,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,2,4,14,32.204,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,2,5,15,32.259,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,2,6,16,32.325,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,2,7,17,32.198,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,2,8,18,32.087,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,2,9,19,32.007,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
homogeneity,no2,corrida_5,30-nmol/mol,2,10,20,32.051,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_1,0-nmol/mol,1,1,1,-0.204,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_1,0-nmol/mol,1,2,2,-0.279,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_1,0-nmol/mol,2,1,3,-0.216,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_1,0-nmol/mol,2,2,4,-0.14,71,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_2,140-nmol/mol,1,1,1,140.739,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_2,140-nmol/mol,1,2,2,140.71,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_2,140-nmol/mol,2,1,3,140.67,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_2,140-nmol/mol,2,2,4,140.707,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_3,105-nmol/mol,1,1,1,105.978,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_3,105-nmol/mol,1,2,2,106.083,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_3,105-nmol/mol,2,1,3,106.701,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_3,105-nmol/mol,2,2,4,105.782,186,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_4,60-nmol/mol,1,1,1,61.521,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_4,60-nmol/mol,1,2,2,61.789,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_4,60-nmol/mol,2,1,3,61.574,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_4,60-nmol/mol,2,2,4,61.593,179,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_5,30-nmol/mol,1,1,1,32.035,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_5,30-nmol/mol,1,2,2,32.193,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_5,30-nmol/mol,2,1,3,32.03,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
stability,no2,corrida_5,30-nmol/mol,2,2,4,32.207,174,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2c_r.csv
