study_type,pollutant,run,level,replicate,sample_id,dataset_id,value,minute_pool_n,simulated_minutes_n,seed,input_path
homogeneity,no,corrida_2,180-nmol/mol,2,1,11,179.781,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,2,2,12,179.561,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,2,3,13,179.814,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,2,4,14,179.635,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,2,5,15,179.884,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,2,6,16,179.345,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,2,7,17,179.242,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,2,8,18,179.423,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,2,9,19,179.621,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_2,180-nmol/mol,2,10,20,179.223,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,1,1,1,119.251,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,1,2,2,119.715,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,1,3,3,118.328,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,1,4,4,118.41,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,1,5,5,118.478,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,1,6,6,118.361,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,1,7,7,118.709,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,1,8,8,118.415,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,1,9,9,118.469,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,1,10,10,118.778,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,2,1,11,118.341,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,2,2,12,118.478,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,2,3,13,119.704,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,2,4,14,119.22,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,2,5,15,119.647,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,2,6,16,118.422,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,2,7,17,120.1,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,2,8,18,119.305,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,2,9,19,118.382,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_3,119-nmol/mol,2,10,20,119.334,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,1,1,1,77.862,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,1,2,2,77.232,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,1,3,3,78.001,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,1,4,4,78.262,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,1,5,5,77.937,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,1,6,6,77.785,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,1,7,7,77.928,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,1,8,8,78.15,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,1,9,9,77.785,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,1,10,10,78.419,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,2,1,11,78.263,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,2,2,12,77.352,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,2,3,13,78.057,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,2,4,14,77.863,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,2,5,15,77.931,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,2,6,16,77.912,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,2,7,17,77.906,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,2,8,18,77.889,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,2,9,19,77.949,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_4,78-nmol/mol,2,10,20,78.107,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,1,1,1,37.063,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,1,2,2,37.129,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,1,3,3,37.117,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,1,4,4,37.12,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,1,5,5,37.1,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,1,6,6,37.179,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,1,7,7,37.107,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,1,8,8,37.033,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,1,9,9,37.162,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,1,10,10,37.087,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,2,1,11,37.181,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,2,2,12,37.101,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,2,3,13,37.27,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,2,4,14,37.075,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,2,5,15,37.235,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,2,6,16,37.106,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,2,7,17,37.054,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,2,8,18,37.004,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,2,9,19,37.14,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
homogeneity,no,corrida_5,37-nmol/mol,2,10,20,37.136,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_1,0-nmol/mol,1,1,1,-0.218,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_1,0-nmol/mol,1,2,2,0.026,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_1,0-nmol/mol,2,1,3,-0.091,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_1,0-nmol/mol,2,2,4,-0.214,70,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_2,180-nmol/mol,1,1,1,179.279,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_2,180-nmol/mol,1,2,2,179.526,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_2,180-nmol/mol,2,1,3,179.705,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_2,180-nmol/mol,2,2,4,179.62,178,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_3,119-nmol/mol,1,1,1,119.251,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_3,119-nmol/mol,1,2,2,119.715,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_3,119-nmol/mol,2,1,3,118.328,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_3,119-nmol/mol,2,2,4,118.41,183,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_4,78-nmol/mol,1,1,1,77.862,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_4,78-nmol/mol,1,2,2,77.232,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_4,78-nmol/mol,2,1,3,78.001,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_4,78-nmol/mol,2,2,4,78.262,172,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_5,37-nmol/mol,1,1,1,37.063,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_5,37-nmol/mol,1,2,2,37.129,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_5,37-nmol/mol,2,1,3,37.117,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
stability,no,corrida_5,37-nmol/mol,2,2,4,37.12,173,60,13528,/home/w182/w421/pt_app/data/raw/datos_ronda_2b_r.csv
